symbol,date,side,price,pf_w
PIKK,2010-05-12,BUY,147.29,0.4
SBER,2010-05-12,BUY,81.93,0.04
SBERP,2010-05-12,BUY,60.39,0.4
GAZP,2010-05-13,SELL,162.9,0.4
PIKK,2010-05-13,SELL,143.24,0.4
SBERP,2010-05-13,SELL,59.81,0.4
SIBN,2010-05-13,BUY,141.32,0.316262166289396
SIBN,2010-05-14,SELL,137.5,0.316262166289396
SBER,2010-05-17,SELL,76.01,0.04
GAZP,2010-05-26,BUY,158.44,0.4
PIKK,2010-05-27,BUY,127.51,0.4
SBER,2010-05-27,BUY,70.65,0.04
SBERP,2010-05-27,BUY,55.23,0.4
GAZP,2010-05-28,SELL,157.88,0.4
ISKJ,2010-05-28,BUY,10.555,0.08
PIKK,2010-05-28,SELL,126.38,0.4
SBERP,2010-05-28,SELL,54.57,0.4
SIBN,2010-05-28,BUY,119.52,0.316262166289396
GAZP,2010-05-31,BUY,159.84,0.4
PIKK,2010-05-31,BUY,133.13,0.4
SBERP,2010-05-31,BUY,55.75,0.4
GAZP,2010-06-01,SELL,159.26,0.4
ISKJ,2010-06-01,SELL,10.537,0.08
PIKK,2010-06-01,SELL,128,0.4
SIBN,2010-06-01,SELL,118.5,0.316262166289396
GAZP,2010-06-02,BUY,163.8,0.4
SBERP,2010-06-02,SELL,56.15,0.4
SIBN,2010-06-02,BUY,121.75,0.356262166289396
SBERP,2010-06-03,BUY,56.6,0.4
GAZP,2010-06-04,SELL,163,0.4
ISKJ,2010-06-04,BUY,11.036,0.08
SBERP,2010-06-04,SELL,54.76,0.4
SIBN,2010-06-04,SELL,120.96,0.316262166289396
ISKJ,2010-06-08,SELL,10.911,0.08
SBER,2010-06-08,SELL,70.95,0.04
ISKJ,2010-06-10,BUY,11.107,0.08
LKOH,2010-06-10,BUY,1671.95,0.04
SBER,2010-06-10,BUY,73.29,0.04
SIBN,2010-06-10,BUY,117.35,0.316262166289396
SIBN,2010-06-10,SELL,117.35,0.04
ISKJ,2010-06-11,SELL,10.6,0.08
SIBN,2010-06-11,SELL,115.7,0.316262166289396
SBERP,2010-06-15,BUY,56.86,0.4
SIBN,2010-06-15,BUY,122,0.356262166289396
SBERP,2010-06-16,SELL,56.15,0.4
SBER,2010-06-17,BUY,78.5,0.299024933149251
SBERP,2010-06-17,BUY,56.96,0.4
SBERP,2010-06-18,BUY,57.64,0.04
GAZP,2010-06-21,BUY,162.88,0.4
ISKJ,2010-06-21,BUY,10.808,0.08
LKOH,2010-06-21,SELL,1695.2,0.04
PIKK,2010-06-21,BUY,123.8,0.4
GAZP,2010-06-22,SELL,159.44,0.4
ISKJ,2010-06-22,SELL,10.653,0.08
PIKK,2010-06-22,SELL,121.8,0.4
SBERP,2010-06-22,SELL,59.77,0.44
SIBN,2010-06-22,SELL,126.32,0.316262166289396
SBER,2010-06-24,SELL,80.28,0.339024933149251
ISKJ,2010-06-28,BUY,10.654,0.04
SIBN,2010-06-28,SELL,123.35,0.04
ISKJ,2010-06-29,SELL,10.133,0.04
GAZP,2010-07-06,BUY,152.38,0.4
ISKJ,2010-07-06,BUY,10.269,0.04
PIKK,2010-07-06,BUY,101.71,0.4
SBERP,2010-07-06,BUY,56.02,0.4
SIBN,2010-07-06,BUY,119.99,0.356262166289396
ISKJ,2010-07-07,SELL,10.128,0.04
SBER,2010-07-07,BUY,77.49,0.04
GAZP,2010-07-08,SELL,151.97,0.4
SIBN,2010-07-08,SELL,118.78,0.316262166289396
GAZP,2010-07-09,BUY,154.2,0.4
PIKK,2010-07-09,SELL,111.48,0.4
ISKJ,2010-07-12,BUY,10.246,0.04
ISKJ,2010-07-13,BUY,10.309,0.04
SIBN,2010-07-13,BUY,120.57,0.316262166289396
GAZP,2010-07-14,SELL,158.12,0.4
ISKJ,2010-07-14,SELL,10.122,0.08
SBERP,2010-07-14,SELL,58.1,0.4
SIBN,2010-07-14,SELL,118.5,0.356262166289396
SBER,2010-07-16,SELL,79.07,0.04
SIBN,2010-07-20,BUY,118.2,0.316262166289396
GAZP,2010-07-21,BUY,158.25,0.4
SIBN,2010-07-21,BUY,119.99,0.04
SBER,2010-07-22,BUY,83.93,0.339024933149251
SBERP,2010-07-22,BUY,58,0.4
GAZP,2010-07-23,SELL,160.9,0.4
SBERP,2010-07-23,SELL,57.32,0.4
SIBN,2010-07-23,SELL,121.26,0.316262166289396
PIKK,2010-07-26,BUY,106.48,0.4
ROSN,2010-07-26,BUY,206.25,0.04
SBER,2010-07-26,BUY,84.19,0.039999999999999
SBERP,2010-07-26,BUY,58.24,0.4
SIBN,2010-07-26,BUY,121.98,0.316262166289396
GAZP,2010-07-27,BUY,164.3,0.4
ISKJ,2010-07-27,BUY,10.02,0.04
GAZP,2010-07-28,SELL,161.79,0.4
ISKJ,2010-07-28,SELL,9.92,0.04
LKOH,2010-07-28,BUY,1749.99,0.04
SBERP,2010-07-28,SELL,57.6,0.4
SIBN,2010-07-28,SELL,120.83,0.316262166289396
GAZP,2010-07-29,BUY,165.5,0.4
PIKK,2010-07-29,SELL,110.02,0.4
SIBN,2010-07-29,BUY,124.93,0.316262166289396
GAZP,2010-07-30,SELL,162.85,0.4
SIBN,2010-07-30,SELL,123.3,0.316262166289396
GAZP,2010-08-02,BUY,168.99,0.4
PIKK,2010-08-02,BUY,112.19,0.4
SIBN,2010-08-02,BUY,128,0.316262166289396
GAZP,2010-08-03,SELL,165.92,0.4
LKOH,2010-08-03,SELL,1693.5,0.04
PIKK,2010-08-03,SELL,111.5,0.4
SBER,2010-08-03,SELL,85.84,0.37902493314925
SBERP,2010-08-03,BUY,59.74,0.44
SIBN,2010-08-03,SELL,126.5,0.316262166289396
ISKJ,2010-08-04,BUY,10.001,0.08
PIKK,2010-08-04,BUY,113.48,0.4
SIBN,2010-08-04,BUY,128.9,0.316262166289396
PIKK,2010-08-05,SELL,112.8,0.4
SBERP,2010-08-05,SELL,61.25,0.44
SIBN,2010-08-05,SELL,127.45,0.316262166289396
ISKJ,2010-08-06,SELL,9.997,0.08
GAZP,2010-08-09,BUY,169.61,0.4
ISKJ,2010-08-09,BUY,10.04,0.08
PIKK,2010-08-09,BUY,114.27,0.4
ROSN,2010-08-09,SELL,207.16,0.04
GAZP,2010-08-10,SELL,166.53,0.4
ISKJ,2010-08-10,SELL,9.88,0.08
PIKK,2010-08-10,SELL,112.49,0.4
SIBN,2010-08-11,SELL,121.5,0.04
ISKJ,2010-08-17,BUY,9.975,0.08
PIKK,2010-08-17,BUY,110.5,0.4
SIBN,2010-08-17,BUY,121.09,0.316262166289396
